date,SPY_BH,60_40,FRAR,FRAR_Net,FRAR_Quad,FRAR_Quad_Net
2022-12-06,4.308604005622521,3.4311627862095637,4.557189713185381,4.367881533246697,5.724223662917479,5.291272065991755
2022-12-07,4.301274966665216,3.4599997334678587,4.600064266259032,4.408931142140427,5.778077802570941,5.3409543425800265
2022-12-08,4.334970751011079,3.472469815330891,4.609438077114846,4.417871469643706,5.78985211816665,5.351739102118448
2022-12-09,4.302587250193824,3.4207720680191565,4.556216523251098,4.366818292520818,5.7230012523528675,5.28984912024709
2022-12-12,4.364619077518108,3.4547382983294868,4.588580004404509,4.397792649366299,5.763652578343695,5.327325348300421
2022-12-13,4.397658545640278,3.4837731752879257,4.617277445165073,4.42525281272104,5.799699041143238,5.360544009283934
2022-12-14,4.369541972573981,3.476360327769831,4.622735418163721,4.430439672242315,5.806554726369602,5.366781497271611
2022-12-15,4.26265558942592,3.4307636061017526,4.584469254280817,4.393721537544743,5.758489121342488,5.322257994532665
2022-12-16,4.212330684981689,3.3911317488113584,4.5460493788536205,4.3568568192584545,5.710230441347141,5.277557688550543
2022-12-19,4.1766108227976275,3.3510828604229608,4.513815954554622,4.325921765905556,5.669742477992152,5.240040816412279
2022-12-20,4.182325414563528,3.330031419438976,4.495793689437609,4.308606791578567,5.647104957297393,5.219022606340033
2022-12-21,4.244862476280108,3.363255857563467,4.52647923253844,4.337971506381213,5.685648648252158,5.254547457991871
2022-12-22,4.184304481879207,3.3342077747074317,4.513224250766843,4.325225457779969,5.6689992469579815,5.239063734485325
2022-12-23,4.208373248187889,3.326162519639179,4.507052023381333,4.319267316602787,5.661246396566255,5.231802267778105
2022-12-27,4.1917776242923255,3.291985499740864,4.489238345764866,4.302152991410414,5.638870879777754,5.211027879412883
2022-12-28,4.1396830037999415,3.2596797819043153,4.457696905624557,4.27188346852414,5.599252108259144,5.174319608393942
2022-12-29,4.21419809828802,3.309684896758598,4.492771984314781,4.305453606141303,5.643309434825198,5.214937103860021
2022-12-30,4.2030979451650134,3.289727156171837,4.466034312965286,4.279788090557798,5.609724611576068,5.183805932894803
